id,citibike_station_id,latitude,longitude,label,address,created_at,updated_at
206,427,40.70251526000000000000,-74.01427022999999000000,State St,"",2013-07-10 23:13:57.425678,2013-07-10 23:13:57.425678
207,428,40.72467721000000000000,-73.98783413000000000000,E 3 St & 1 Ave,"",2013-07-10 23:13:57.438894,2013-07-10 23:13:57.438894
208,430,40.70148510000000000000,-73.98656928000000000000,York St & Jay St,"",2013-07-10 23:13:57.47356,2013-07-10 23:13:57.47356
209,431,40.68864636000000000000,-73.98263428999999000000,Hanover Pl & Livingston St,"",2013-07-10 23:13:57.487131,2013-07-10 23:13:57.487131
210,432,40.72621788000000000000,-73.98379855000000000000,E 7 St & Avenue A,"",2013-07-10 23:13:57.523506,2013-07-10 23:13:57.523506
211,433,40.72955361000000000000,-73.98057249000000000000,E 13 St & Avenue A,"",2013-07-10 23:13:57.536454,2013-07-10 23:13:57.536454
212,434,40.74317449000000000000,-74.00366443000000000000,9 Ave & W 18 St,"",2013-07-10 23:13:57.549344,2013-07-10 23:13:57.549344
213,435,40.74173969000000000000,-73.99415556000000000000,W 21 St & 6 Ave,"",2013-07-10 23:13:57.563148,2013-07-10 23:13:57.563148
214,436,40.68216564000000000000,-73.95399026000000000000,Hancock St & Bedford Ave,"",2013-07-10 23:13:57.578251,2013-07-10 23:13:57.578251
215,437,40.68098338540000000000,-73.95004797590001000000,Macon St & Nostrand Ave,"",2013-07-10 23:13:57.598452,2013-07-10 23:13:57.598452
216,438,40.72779126000000000000,-73.98564945000000000000,St Marks Pl & 1 Ave,"",2013-07-10 23:13:57.612877,2013-07-10 23:13:57.612877
217,439,40.72628070000000000000,-73.98978040999999000000,E 4 St & 2 Ave,"",2013-07-10 23:13:57.625406,2013-07-10 23:13:57.625406
218,440,40.75255434000000000000,-73.97282625000000000000,E 45 St & 3 Ave,"",2013-07-10 23:13:57.637787,2013-07-10 23:13:57.637787
219,441,40.75601910000000000000,-73.96744628000000000000,E 52 St & 2 Ave,"",2013-07-10 23:13:57.651014,2013-07-10 23:13:57.651014
220,442,40.74684160000000000000,-73.99445897000000000000,W 27 St & 7 Ave,"",2013-07-10 23:13:57.663279,2013-07-10 23:13:57.663279
221,443,40.70853074000000000000,-73.96408963000000000000,Bedford Ave & S 9 St,"",2013-07-10 23:13:57.693308,2013-07-10 23:13:57.693308
222,444,40.74235430000000000000,-73.98915076000000000000,Broadway & W 24 St,"",2013-07-10 23:13:57.706705,2013-07-10 23:13:57.706705
223,445,40.72740794000000000000,-73.98142006000000000000,E 10 St & Avenue A,"",2013-07-10 23:13:57.720538,2013-07-10 23:13:57.720538
224,446,40.74487634000000000000,-73.99529885000000000000,W 24 St & 7 Ave,"",2013-07-10 23:13:57.751252,2013-07-10 23:13:57.751252
225,447,40.76370739000000000000,-73.98516150000000000000,8  Ave & W 52 St,"",2013-07-10 23:13:57.763508,2013-07-10 23:13:57.763508
226,448,40.75660359000000000000,-73.99790090000000000000,W 37 St & 10 Ave,"",2013-07-10 23:13:57.775855,2013-07-10 23:13:57.775855
227,449,40.76461837000000000000,-73.98789472999999000000,52 St & 9 Ave,"",2013-07-10 23:13:57.811545,2013-07-10 23:13:57.811545
228,450,40.76227205000000000000,-73.98788205000000000000,W 49 St & 8 Ave,"",2013-07-10 23:13:57.82532,2013-07-10 23:13:57.82532
229,453,40.74475148000000000000,-73.99915362000000000000,W 22 St & 8 Ave,"",2013-07-10 23:13:57.839158,2013-07-10 23:13:57.839158
230,454,40.75455731000000000000,-73.96592975999999000000,E 51 St & 1 Ave,"",2013-07-10 23:13:57.853183,2013-07-10 23:13:57.853183
231,455,40.75001986000000000000,-73.96905301000000000000,1 Ave & E 44 St,"",2013-07-10 23:13:57.904049,2013-07-10 23:13:57.904049
232,456,40.75971080000000000000,-73.97402311000000000000,E 53 St & Madison Ave,"",2013-07-10 23:13:57.915327,2013-07-10 23:13:57.915327
233,457,40.76695317000000000000,-73.98169333000000000000,Broadway & W 57 St,"",2013-07-10 23:13:57.927259,2013-07-10 23:13:57.927259
234,458,40.74806176000000000000,-74.00723188000001000000,W 22 St & 11 Ave,"",2013-07-10 23:13:57.938846,2013-07-10 23:13:57.938846
235,459,40.74522724000000000000,-74.00797904000000000000,W 18 St & 11 Ave,"",2013-07-10 23:13:57.952229,2013-07-10 23:13:57.952229
236,460,40.71285887000000000000,-73.96590294000001000000,S 4 St & Wythe Ave,"",2013-07-10 23:13:57.983347,2013-07-10 23:13:57.983347
237,461,40.73587678000000000000,-73.98205027000000000000,E 20 St & 2 Ave,"",2013-07-10 23:13:57.995313,2013-07-10 23:13:57.995313
238,462,40.74691959000000000000,-74.00451887000000000000,W 22 St & 10 Ave,"",2013-07-10 23:13:58.00644,2013-07-10 23:13:58.00644
239,463,40.74206539000000000000,-74.00443172000000000000,9 Ave & W 16 St,"",2013-07-10 23:13:58.039738,2013-07-10 23:13:58.039738
240,464,40.75934501000000000000,-73.96759673000000000000,E 56 St & 3 Ave,"",2013-07-10 23:13:58.052425,2013-07-10 23:13:58.052425
241,465,40.75513557000000000000,-73.98658032000000000000,Broadway & W 41 St,"",2013-07-10 23:13:58.063733,2013-07-10 23:13:58.063733
242,466,40.74395411000000000000,-73.99144871000000000000,W 25 St & 6 Ave,"",2013-07-10 23:13:58.074392,2013-07-10 23:13:58.074392
243,467,40.68312489000000000000,-73.97895137000000000000,Dean St & 4 Ave,"",2013-07-10 23:13:58.10145,2013-07-10 23:13:58.10145
244,468,40.76526540000000000000,-73.98192338000000000000,Broadway & W 55 St,"",2013-07-10 23:13:58.112551,2013-07-10 23:13:58.112551
245,469,40.76344058000000000000,-73.98268129000000000000,Broadway & W 53 St,"",2013-07-10 23:13:58.128344,2013-07-10 23:13:58.128344
246,470,40.74345335000000000000,-74.00004031000000000000,W 20 St & 8 Ave,"",2013-07-10 23:13:58.139104,2013-07-10 23:13:58.139104
247,471,40.71286844000000000000,-73.95698118999999000000,Grand St & Havemeyer St,"",2013-07-10 23:13:58.150317,2013-07-10 23:13:58.150317
248,472,40.74571210000000000000,-73.98194829000001000000,E 32 St & Park Av,"",2013-07-10 23:13:58.160924,2013-07-10 23:13:58.160924
249,473,40.72110063000000000000,-73.99192540000000000000,Rivington St & Chrystie St,"",2013-07-10 23:13:58.172606,2013-07-10 23:13:58.172606
250,474,40.74516770000000000000,-73.98683077000000000000,5 Ave & E 29 St,"",2013-07-10 23:13:58.183346,2013-07-10 23:13:58.183346
251,475,40.73524276000000000000,-73.98758561000000000000,E 16 St & Irving Pl,"",2013-07-10 23:13:58.194042,2013-07-10 23:13:58.194042
252,476,40.74394314000000000000,-73.97966069000000000000,E 31 St & 3 Ave,"",2013-07-10 23:13:58.207774,2013-07-10 23:13:58.207774
253,477,40.75640548000000000000,-73.99002620000000000000,W 41 St & 8 Ave,"",2013-07-10 23:13:58.218359,2013-07-10 23:13:58.218359
254,478,40.76030096000000000000,-73.99884222000000000000,11 Ave & W 41 St,"",2013-07-10 23:13:58.22931,2013-07-10 23:13:58.22931
255,479,40.76019252000000000000,-73.99125510000000000000,9 Ave & W 45 St,"",2013-07-10 23:13:58.240769,2013-07-10 23:13:58.240769
256,480,40.76669671000000000000,-73.99061728000000000000,W 53 St & 10 Ave,"",2013-07-10 23:13:58.272195,2013-07-10 23:13:58.272195
257,481,40.71260486000000000000,-73.96264403000001000000,S 3 St & Bedford Ave,"",2013-07-10 23:13:58.284188,2013-07-10 23:13:58.284188
258,482,40.73935542000000000000,-73.99931783000000000000,W 15 St & 7 Ave,"",2013-07-10 23:13:58.295363,2013-07-10 23:13:58.295363
259,483,40.73223272000000000000,-73.98889957000000000000,E 12 St & 3 Ave,"",2013-07-10 23:13:58.327129,2013-07-10 23:13:58.327129
260,484,40.75500254000000000000,-73.98014437000000000000,W 44 St & 5 Ave,"",2013-07-10 23:13:58.339364,2013-07-10 23:13:58.339364
