id,active_stations,total_stations,created_at,updated_at,last_update
40154,323,331,2014-04-17 14:00:05.698787,2014-04-17 14:00:05.698787,1397743148
40155,323,331,2014-04-17 14:10:05.731396,2014-04-17 14:10:05.731396,1397743744
40156,323,331,2014-04-17 14:20:05.563535,2014-04-17 14:20:05.563535,1397744350
40157,323,331,2014-04-17 14:30:05.360348,2014-04-17 14:30:05.360348,1397744960
40158,323,331,2014-04-17 14:40:04.925835,2014-04-17 14:40:04.925835,1397745555
40159,323,331,2014-04-17 14:50:05.072761,2014-04-17 14:50:05.072761,1397746152
40160,323,331,2014-04-17 15:00:05.086454,2014-04-17 15:00:05.086454,1397746762
40161,323,331,2014-04-17 15:10:05.081375,2014-04-17 15:10:05.081375,1397747351
40162,323,331,2014-04-17 15:20:05.19391,2014-04-17 15:20:05.19391,1397747957
40163,323,331,2014-04-17 15:30:05.37307,2014-04-17 15:30:05.37307,1397748553
40164,323,331,2014-04-17 15:40:05.22475,2014-04-17 15:40:05.22475,1397749157
40165,323,331,2014-04-17 15:50:05.138781,2014-04-17 15:50:05.138781,1397749753
40166,323,331,2014-04-17 16:00:04.866635,2014-04-17 16:00:04.866635,1397750351
40167,323,331,2014-04-17 16:10:07.936534,2014-04-17 16:10:07.936534,1397750953
40168,323,331,2014-04-17 16:20:05.051242,2014-04-17 16:20:05.051242,1397751550
40169,323,331,2014-04-17 16:30:06.006663,2014-04-17 16:30:06.006663,1397752160
40170,323,331,2014-04-17 16:40:05.720535,2014-04-17 16:40:05.720535,1397752753
40171,323,331,2014-04-17 16:50:06.081761,2014-04-17 16:50:06.081761,1397753347
40172,323,331,2014-04-17 17:00:04.776651,2014-04-17 17:00:04.776651,1397753953
40173,323,331,2014-04-17 17:10:05.695066,2014-04-17 17:10:05.695066,1397754550
40174,323,331,2014-04-17 17:20:05.533752,2014-04-17 17:20:05.533752,1397755159
40175,323,331,2014-04-17 17:30:05.598444,2014-04-17 17:30:05.598444,1397755745
40176,323,331,2014-04-17 17:40:04.583931,2014-04-17 17:40:04.583931,1397756355
40177,323,331,2014-04-17 17:50:04.995876,2014-04-17 17:50:04.995876,1397756943
40178,323,331,2014-04-17 18:00:05.703085,2014-04-17 18:00:05.703085,1397757550
40179,323,331,2014-04-17 18:10:08.50447,2014-04-17 18:10:08.50447,1397758147
40180,323,331,2014-04-17 18:20:05.20039,2014-04-17 18:20:05.20039,1397758755
40181,323,331,2014-04-17 18:30:04.942824,2014-04-17 18:30:04.942824,1397759342
40182,323,331,2014-04-17 18:40:05.472143,2014-04-17 18:40:05.472143,1397759955
40183,323,331,2014-04-17 18:50:05.070697,2014-04-17 18:50:05.070697,1397760553
40184,323,331,2014-04-17 19:00:05.07332,2014-04-17 19:00:05.07332,1397761147
40185,323,331,2014-04-17 19:10:04.733927,2014-04-17 19:10:04.733927,1397761761
40186,323,331,2014-04-17 19:20:05.594662,2014-04-17 19:20:05.594662,1397762358
40187,323,331,2014-04-17 19:30:05.895152,2014-04-17 19:30:05.895152,1397762948
40188,323,331,2014-04-17 19:40:07.05331,2014-04-17 19:40:07.05331,1397763546
40189,323,331,2014-04-17 19:50:05.853502,2014-04-17 19:50:05.853502,1397764144
40190,323,331,2014-04-17 20:00:05.643451,2014-04-17 20:00:05.643451,1397764758
40191,323,331,2014-04-17 20:10:06.838248,2014-04-17 20:10:06.838248,1397765350
40192,323,331,2014-04-17 20:20:07.447951,2014-04-17 20:20:07.447951,1397765961
40193,323,331,2014-04-17 20:30:05.038347,2014-04-17 20:30:05.038347,1397766546
40194,323,331,2014-04-17 20:40:05.95728,2014-04-17 20:40:05.95728,1397767156
40195,323,331,2014-04-17 20:50:05.069828,2014-04-17 20:50:05.069828,1397767753
40196,323,331,2014-04-17 21:00:05.128934,2014-04-17 21:00:05.128934,1397768356
40197,323,331,2014-04-17 21:10:05.266232,2014-04-17 21:10:05.266232,1397768953
40198,323,331,2014-04-17 21:20:05.26562,2014-04-17 21:20:05.26562,1397769555
40199,323,331,2014-04-17 21:30:05.276125,2014-04-17 21:30:05.276125,1397770156
40200,323,331,2014-04-17 21:40:05.112823,2014-04-17 21:40:05.112823,1397770760
40201,323,331,2014-04-17 21:50:05.086324,2014-04-17 21:50:05.086324,1397771358
40202,323,331,2014-04-17 22:00:05.22203,2014-04-17 22:00:05.22203,1397771956
40203,323,331,2014-04-17 22:10:04.965817,2014-04-17 22:10:04.965817,1397772555
40204,323,331,2014-04-17 22:20:05.698971,2014-04-17 22:20:05.698971,1397773152
40205,323,331,2014-04-17 22:30:05.855571,2014-04-17 22:30:05.855571,1397773757
40206,323,331,2014-04-17 22:40:05.898994,2014-04-17 22:40:05.898994,1397774355
40207,323,331,2014-04-17 22:50:04.996407,2014-04-17 22:50:04.996407,1397774953
40208,323,331,2014-04-17 23:00:05.073536,2014-04-17 23:00:05.073536,1397775556
40209,323,331,2014-04-17 23:10:04.97461,2014-04-17 23:10:04.97461,1397776154
40210,323,331,2014-04-17 23:20:04.846581,2014-04-17 23:20:04.846581,1397776760
40211,323,331,2014-04-17 23:30:05.752116,2014-04-17 23:30:05.752116,1397777350
40212,323,331,2014-04-17 23:40:05.84821,2014-04-17 23:40:05.84821,1397777955
40213,323,331,2014-04-17 23:50:05.422189,2014-04-17 23:50:05.422189,1397778553
40214,323,331,2014-04-18 00:00:05.412873,2014-04-18 00:00:05.412873,1397779160
40215,323,331,2014-04-18 00:10:05.426441,2014-04-18 00:10:05.426441,1397779758
40216,323,331,2014-04-18 00:20:05.346334,2014-04-18 00:20:05.346334,1397780356
40217,323,331,2014-04-18 00:30:06.30904,2014-04-18 00:30:06.30904,1397780959
40218,323,331,2014-04-18 00:40:05.408265,2014-04-18 00:40:05.408265,1397781554
40219,323,331,2014-04-18 00:50:04.859122,2014-04-18 00:50:04.859122,1397782156
40220,323,331,2014-04-18 01:00:05.59638,2014-04-18 01:00:05.59638,1397782746
40221,323,331,2014-04-18 01:10:05.444184,2014-04-18 01:10:05.444184,1397783360
40222,323,331,2014-04-18 01:20:05.180684,2014-04-18 01:20:05.180684,1397783949
40223,323,331,2014-04-18 01:30:05.201368,2014-04-18 01:30:05.201368,1397784553
40224,323,331,2014-04-18 01:40:05.034739,2014-04-18 01:40:05.034739,1397785151
40225,323,331,2014-04-18 01:50:04.683232,2014-04-18 01:50:04.683232,1397785749
40226,323,331,2014-04-18 02:00:05.485677,2014-04-18 02:00:05.485677,1397786355
40227,323,331,2014-04-18 02:10:05.046402,2014-04-18 02:10:05.046402,1397786952
40228,323,331,2014-04-18 02:20:05.05686,2014-04-18 02:20:05.05686,1397787546
40229,323,331,2014-04-18 02:30:05.333186,2014-04-18 02:30:05.333186,1397788152
40230,323,331,2014-04-18 02:40:04.964392,2014-04-18 02:40:04.964392,1397788750
40231,323,331,2014-04-18 02:50:04.728701,2014-04-18 02:50:04.728701,1397789356
40232,323,331,2014-04-18 03:00:05.260465,2014-04-18 03:00:05.260465,1397789947
40233,323,331,2014-04-18 03:10:05.083422,2014-04-18 03:10:05.083422,1397790550
40234,323,331,2014-04-18 03:20:05.23107,2014-04-18 03:20:05.23107,1397791150
40235,323,331,2014-04-18 03:30:05.397793,2014-04-18 03:30:05.397793,1397791745
40236,323,331,2014-04-18 03:40:05.384901,2014-04-18 03:40:05.384901,1397792351
40237,323,331,2014-04-18 03:50:05.149603,2014-04-18 03:50:05.149603,1397792949
40238,323,331,2014-04-18 04:00:04.833638,2014-04-18 04:00:04.833638,1397793560
40239,323,331,2014-04-18 04:10:05.684607,2014-04-18 04:10:05.684607,1397794145
40240,323,331,2014-04-18 04:20:05.19511,2014-04-18 04:20:05.19511,1397794747
40241,323,331,2014-04-18 04:30:04.975404,2014-04-18 04:30:04.975404,1397795353
40242,323,331,2014-04-18 04:40:05.225832,2014-04-18 04:40:05.225832,1397795954
40243,323,331,2014-04-18 04:50:05.275839,2014-04-18 04:50:05.275839,1397796560
40244,323,331,2014-04-18 05:00:05.433937,2014-04-18 05:00:05.433937,1397797155
40245,323,331,2014-04-18 05:10:05.205082,2014-04-18 05:10:05.205082,1397797747
40246,323,331,2014-04-18 05:20:05.307164,2014-04-18 05:20:05.307164,1397798352
40247,323,331,2014-04-18 05:30:04.925486,2014-04-18 05:30:04.925486,1397798958
40248,323,331,2014-04-18 05:40:05.679874,2014-04-18 05:40:05.679874,1397799546
40249,323,331,2014-04-18 05:50:05.310577,2014-04-18 05:50:05.310577,1397800153
40250,323,331,2014-04-18 06:00:05.073762,2014-04-18 06:00:05.073762,1397800756
40251,323,331,2014-04-18 06:10:05.102748,2014-04-18 06:10:05.102748,1397801353
40252,323,331,2014-04-18 06:20:04.970736,2014-04-18 06:20:04.970736,1397801956
40253,323,331,2014-04-18 06:30:05.983702,2014-04-18 06:30:05.983702,1397802546
40254,323,331,2014-04-18 06:40:05.72445,2014-04-18 06:40:05.72445,1397803160
40255,323,331,2014-04-18 06:50:05.408539,2014-04-18 06:50:05.408539,1397803803
40256,323,331,2014-04-18 07:00:05.138716,2014-04-18 07:00:05.138716,1397804349
40257,323,331,2014-04-18 07:10:04.867641,2014-04-18 07:10:04.867641,1397804961
40258,323,331,2014-04-18 07:20:05.449261,2014-04-18 07:20:05.449261,1397805559
40259,323,331,2014-04-18 07:30:05.155564,2014-04-18 07:30:05.155564,1397806157
40260,323,331,2014-04-18 07:40:04.67231,2014-04-18 07:40:04.67231,1397806754
40261,323,331,2014-04-18 07:50:05.35318,2014-04-18 07:50:05.35318,1397807351
40262,323,331,2014-04-18 08:00:05.335766,2014-04-18 08:00:05.335766,1397807951
40263,323,331,2014-04-18 08:10:04.982715,2014-04-18 08:10:04.982715,1397808551
40264,323,331,2014-04-18 08:20:05.781489,2014-04-18 08:20:05.781489,1397809149
40265,323,331,2014-04-18 08:30:04.959665,2014-04-18 08:30:04.959665,1397809752
40266,323,331,2014-04-18 08:40:04.661625,2014-04-18 08:40:04.661625,1397810352
40267,323,331,2014-04-18 08:50:05.154493,2014-04-18 08:50:05.154493,1397810961
40268,323,331,2014-04-18 09:00:04.959977,2014-04-18 09:00:04.959977,1397811551
40269,323,331,2014-04-18 09:10:05.610807,2014-04-18 09:10:05.610807,1397812157
40270,323,331,2014-04-18 09:20:05.342328,2014-04-18 09:20:05.342328,1397812756
40271,323,331,2014-04-18 09:30:05.134552,2014-04-18 09:30:05.134552,1397813361
40272,323,331,2014-04-18 09:40:04.718777,2014-04-18 09:40:04.718777,1397813950
40273,323,331,2014-04-18 09:50:05.434366,2014-04-18 09:50:05.434366,1397814557
40274,323,331,2014-04-18 10:00:05.511194,2014-04-18 10:00:05.511194,1397815147
40275,323,331,2014-04-18 10:10:05.470121,2014-04-18 10:10:05.470121,1397815753
40276,323,331,2014-04-18 10:20:05.355555,2014-04-18 10:20:05.355555,1397816352
40277,323,331,2014-04-18 10:30:05.341157,2014-04-18 10:30:05.341157,1397816949
40278,323,331,2014-04-18 10:40:05.174435,2014-04-18 10:40:05.174435,1397817556
40279,323,331,2014-04-18 10:50:04.827468,2014-04-18 10:50:04.827468,1397818146
40280,323,331,2014-04-18 11:00:04.947421,2014-04-18 11:00:04.947421,1397818757
40281,323,331,2014-04-18 11:10:05.58773,2014-04-18 11:10:05.58773,1397819362
40282,323,331,2014-04-18 11:20:05.291771,2014-04-18 11:20:05.291771,1397819957
40283,323,331,2014-04-18 11:30:05.22483,2014-04-18 11:30:05.22483,1397820557
40284,323,331,2014-04-18 11:40:05.145181,2014-04-18 11:40:05.145181,1397821153
40285,323,331,2014-04-18 11:50:05.068731,2014-04-18 11:50:05.068731,1397821750
40286,323,331,2014-04-18 12:00:05.160727,2014-04-18 12:00:05.160727,1397822349
40287,323,331,2014-04-18 12:10:05.03965,2014-04-18 12:10:05.03965,1397822952
40288,323,331,2014-04-18 12:20:05.577516,2014-04-18 12:20:05.577516,1397823558
40289,323,331,2014-04-18 12:30:05.349537,2014-04-18 12:30:05.349537,1397824153
40290,323,331,2014-04-18 12:40:04.943583,2014-04-18 12:40:04.943583,1397824751
40291,323,331,2014-04-18 12:50:05.755566,2014-04-18 12:50:05.755566,1397825350
40292,323,331,2014-04-18 13:00:05.070584,2014-04-18 13:00:05.070584,1397825955
40293,323,331,2014-04-18 13:10:04.873833,2014-04-18 13:10:04.873833,1397826550
40294,323,331,2014-04-18 13:20:05.333271,2014-04-18 13:20:05.333271,1397827157
40295,323,331,2014-04-18 13:30:05.088646,2014-04-18 13:30:05.088646,1397827754
40296,323,331,2014-04-18 13:40:04.907854,2014-04-18 13:40:04.907854,1397828355
40297,323,331,2014-04-18 13:50:04.690517,2014-04-18 13:50:04.690517,1397828956
40298,323,331,2014-04-18 14:00:05.365581,2014-04-18 14:00:05.365581,1397829549
40299,323,331,2014-04-18 14:10:05.628842,2014-04-18 14:10:05.628842,1397830146
40300,323,331,2014-04-18 14:20:06.966642,2014-04-18 14:20:06.966642,1397830755
40301,323,331,2014-04-18 14:30:06.40333,2014-04-18 14:30:06.40333,1397831404
40302,323,331,2014-04-18 14:40:05.025198,2014-04-18 14:40:05.025198,1397831950
40303,323,331,2014-04-18 14:50:04.765291,2014-04-18 14:50:04.765291,1397832554
40304,323,331,2014-04-18 15:00:05.525665,2014-04-18 15:00:05.525665,1397833157
40305,323,331,2014-04-18 15:10:05.603335,2014-04-18 15:10:05.603335,1397833752
40306,323,331,2014-04-18 15:20:05.182022,2014-04-18 15:20:05.182022,1397834349
40307,323,331,2014-04-18 15:30:05.078769,2014-04-18 15:30:05.078769,1397834956
40308,323,331,2014-04-18 15:40:05.199972,2014-04-18 15:40:05.199972,1397835557
40309,323,331,2014-04-18 15:50:04.763425,2014-04-18 15:50:04.763425,1397836163
40310,323,331,2014-04-18 16:00:05.448562,2014-04-18 16:00:05.448562,1397836747
40311,323,331,2014-04-18 16:10:05.17563,2014-04-18 16:10:05.17563,1397837347
40312,323,331,2014-04-18 16:20:04.854378,2014-04-18 16:20:04.854378,1397837957
40313,323,331,2014-04-18 16:30:05.009459,2014-04-18 16:30:05.009459,1397838547
40314,323,331,2014-04-18 16:40:05.84033,2014-04-18 16:40:05.84033,1397839149
40315,323,331,2014-04-18 16:50:05.643485,2014-04-18 16:50:05.643485,1397839758
40316,323,331,2014-04-18 17:00:05.319902,2014-04-18 17:00:05.319902,1397840356
40317,323,331,2014-04-18 17:10:05.275584,2014-04-18 17:10:05.275584,1397840958
40318,323,331,2014-04-18 17:20:05.007883,2014-04-18 17:20:05.007883,1397841558
40319,323,331,2014-04-18 17:30:04.858524,2014-04-18 17:30:04.858524,1397842147
40320,323,331,2014-04-18 17:40:05.669317,2014-04-18 17:40:05.669317,1397842742
40321,323,331,2014-04-18 17:50:05.810145,2014-04-18 17:50:05.810145,1397843348
40322,323,331,2014-04-18 18:00:05.530366,2014-04-18 18:00:05.530366,1397844003
40323,323,331,2014-04-18 18:10:05.310032,2014-04-18 18:10:05.310032,1397844552
